strategy,model,elo,full_elo,delta,absolute_delta
full_stored_board,FireRedTeam/FireRed-OCR,1557.449386684769,1557.449386684769,0.0,0.0
full_stored_board,PaddlePaddle/PP-OCRv6_medium,1397.0965599286017,1397.0965599286017,0.0,0.0
full_stored_board,PaddlePaddle/PaddleOCR-VL-1.6,1462.9745524973894,1462.9745524973894,0.0,0.0
full_stored_board,allenai/olmOCR-2-7B-1025-FP8,1719.231138029067,1719.231138029067,0.0,0.0
full_stored_board,baidu/Qianfan-OCR,1568.0944503021342,1568.0944503021342,0.0,0.0
full_stored_board,baidu/Unlimited-OCR,1545.2060026385532,1545.2060026385532,0.0,0.0
full_stored_board,deepseek-ai/DeepSeek-OCR,1451.9970235866688,1451.9970235866688,0.0,0.0
full_stored_board,deepseek-ai/DeepSeek-OCR-2,1380.2125479868414,1380.2125479868414,0.0,0.0
full_stored_board,lightonai/LightOnOCR-2-1B,1741.2525107847546,1741.2525107847546,0.0,0.0
full_stored_board,numind/NuExtract3,1689.6190357899554,1689.6190357899554,0.0,0.0
full_stored_board,rednote-hilab/dots.mocr,1745.4252593866306,1745.4252593866306,0.0,0.0
full_stored_board,rednote-hilab/dots.ocr,890.6755485577996,890.6755485577996,0.0,0.0
full_stored_board,tesseract-5,1112.5865083646895,1112.5865083646895,0.0,0.0
full_stored_board,zai-org/GLM-OCR,1738.1794754621453,1738.1794754621453,0.0,0.0
balanced_adaptive,FireRedTeam/FireRed-OCR,1557.449386684769,1557.449386684769,0.0,0.0
balanced_adaptive,PaddlePaddle/PP-OCRv6_medium,1397.0965599286017,1397.0965599286017,0.0,0.0
balanced_adaptive,PaddlePaddle/PaddleOCR-VL-1.6,1462.9745524973894,1462.9745524973894,0.0,0.0
balanced_adaptive,allenai/olmOCR-2-7B-1025-FP8,1719.231138029067,1719.231138029067,0.0,0.0
balanced_adaptive,baidu/Qianfan-OCR,1568.0944503021342,1568.0944503021342,0.0,0.0
balanced_adaptive,baidu/Unlimited-OCR,1545.2060026385532,1545.2060026385532,0.0,0.0
balanced_adaptive,deepseek-ai/DeepSeek-OCR,1451.9970235866688,1451.9970235866688,0.0,0.0
balanced_adaptive,deepseek-ai/DeepSeek-OCR-2,1380.2125479868414,1380.2125479868414,0.0,0.0
balanced_adaptive,lightonai/LightOnOCR-2-1B,1741.2525107847546,1741.2525107847546,0.0,0.0
balanced_adaptive,numind/NuExtract3,1689.6190357899554,1689.6190357899554,0.0,0.0
balanced_adaptive,rednote-hilab/dots.mocr,1745.4252593866306,1745.4252593866306,0.0,0.0
balanced_adaptive,rednote-hilab/dots.ocr,890.6755485577996,890.6755485577996,0.0,0.0
balanced_adaptive,tesseract-5,1112.5865083646895,1112.5865083646895,0.0,0.0
balanced_adaptive,zai-org/GLM-OCR,1738.1794754621453,1738.1794754621453,0.0,0.0
targeted,FireRedTeam/FireRed-OCR,1608.6660112077338,1557.449386684769,51.21662452296482,51.21662452296482
targeted,PaddlePaddle/PP-OCRv6_medium,1377.6646857166104,1397.0965599286017,-19.43187421199127,19.43187421199127
targeted,PaddlePaddle/PaddleOCR-VL-1.6,1454.615998571742,1462.9745524973894,-8.358553925647357,8.358553925647357
targeted,allenai/olmOCR-2-7B-1025-FP8,1642.818285019612,1719.231138029067,-76.41285300945515,76.41285300945515
targeted,baidu/Qianfan-OCR,1539.9111178560452,1568.0944503021342,-28.183332446089025,28.183332446089025
targeted,baidu/Unlimited-OCR,1506.3234161401497,1545.2060026385532,-38.8825864984035,38.8825864984035
targeted,deepseek-ai/DeepSeek-OCR,1426.5476771700012,1451.9970235866688,-25.449346416667595,25.449346416667595
targeted,deepseek-ai/DeepSeek-OCR-2,1377.2800066566067,1380.2125479868414,-2.9325413302346988,2.9325413302346988
targeted,lightonai/LightOnOCR-2-1B,1749.396477632365,1741.2525107847546,8.1439668476105,8.1439668476105
targeted,numind/NuExtract3,1605.6969627860044,1689.6190357899554,-83.92207300395103,83.92207300395103
targeted,rednote-hilab/dots.mocr,1792.8899530394683,1745.4252593866306,47.464693652837695,47.464693652837695
targeted,rednote-hilab/dots.ocr,948.1699172928749,890.6755485577996,57.49436873507523,57.49436873507523
targeted,tesseract-5,1198.0745767135008,1112.5865083646895,85.48806834881134,85.48806834881134
targeted,zai-org/GLM-OCR,1771.9449141972862,1738.1794754621453,33.76543873514083,33.76543873514083
targeted_size_3_min_10,FireRedTeam/FireRed-OCR,1624.9227279420727,1557.449386684769,67.47334125730367,67.47334125730367
targeted_size_3_min_10,PaddlePaddle/PP-OCRv6_medium,1376.9484337859622,1397.0965599286017,-20.148126142639512,20.148126142639512
targeted_size_3_min_10,PaddlePaddle/PaddleOCR-VL-1.6,1490.9995257145788,1462.9745524973894,28.024973217189427,28.024973217189427
targeted_size_3_min_10,allenai/olmOCR-2-7B-1025-FP8,1635.9035087399477,1719.231138029067,-83.32762928911939,83.32762928911939
targeted_size_3_min_10,baidu/Qianfan-OCR,1530.4176737122787,1568.0944503021342,-37.676776589855535,37.676776589855535
targeted_size_3_min_10,baidu/Unlimited-OCR,1480.0702592753057,1545.2060026385532,-65.13574336324746,65.13574336324746
targeted_size_3_min_10,deepseek-ai/DeepSeek-OCR,1398.8879735474673,1451.9970235866688,-53.10905003920152,53.10905003920152
targeted_size_3_min_10,deepseek-ai/DeepSeek-OCR-2,1357.233351240866,1380.2125479868414,-22.979196745975287,22.979196745975287
targeted_size_3_min_10,lightonai/LightOnOCR-2-1B,1737.341289759878,1741.2525107847546,-3.9112210248765678,3.9112210248765678
targeted_size_3_min_10,numind/NuExtract3,1585.7734560830231,1689.6190357899554,-103.84557970693231,103.84557970693231
targeted_size_3_min_10,rednote-hilab/dots.mocr,1810.2964669395187,1745.4252593866306,64.87120755288811,64.87120755288811
targeted_size_3_min_10,rednote-hilab/dots.ocr,979.3393152695397,890.6755485577996,88.6637667117401,88.6637667117401
targeted_size_3_min_10,tesseract-5,1218.526808949212,1112.5865083646895,105.94030058452245,105.94030058452245
targeted_size_3_min_10,zai-org/GLM-OCR,1773.3392090403493,1738.1794754621453,35.15973357820394,35.15973357820394
targeted_size_2_min_10,FireRedTeam/FireRed-OCR,1724.8282863076872,1557.449386684769,167.3788996229182,167.3788996229182
targeted_size_2_min_10,PaddlePaddle/PP-OCRv6_medium,1367.8142585858143,1397.0965599286017,-29.282301342787378,29.282301342787378
targeted_size_2_min_10,PaddlePaddle/PaddleOCR-VL-1.6,1471.007968958292,1462.9745524973894,8.033416460902572,8.033416460902572
targeted_size_2_min_10,allenai/olmOCR-2-7B-1025-FP8,1613.8096859733894,1719.231138029067,-105.42145205567772,105.42145205567772
targeted_size_2_min_10,baidu/Qianfan-OCR,1512.007840306965,1568.0944503021342,-56.08660999516928,56.08660999516928
