strategy,round,sample_indices,batch_comparisons,cumulative_comparisons,allocation_mode,active_pairs,next_active_pairs,min_direct_comparisons,resolved,prefer_smaller,unresolved
balanced_adaptive,1,"[0, 1, 2, 3, 4]",455,455,balanced,,12,,1,0,12
balanced_adaptive,2,"[5, 6, 7, 8, 9]",454,909,balanced,,12,,1,0,12
balanced_adaptive,3,"[10, 11, 12, 13, 14]",454,1363,balanced,,12,,1,0,12
balanced_adaptive,4,"[15, 16, 17, 18, 19]",455,1818,balanced,,12,,1,0,12
balanced_adaptive,5,"[20, 21, 22, 23, 24]",455,2273,balanced,,12,,1,0,12
balanced_adaptive,6,"[25, 26, 27, 28, 29]",455,2728,balanced,,11,,2,0,11
balanced_adaptive,7,"[30, 31, 32, 33, 34]",455,3183,balanced,,11,,2,0,11
balanced_adaptive,8,"[35, 36, 37, 38, 39]",418,3601,balanced,,11,,2,0,11
balanced_adaptive,9,"[40, 41, 42, 43, 44]",449,4050,balanced,,11,,2,0,11
balanced_adaptive,10,"[45, 46, 47, 48, 49]",455,4505,balanced,,11,,2,0,11
targeted,1,"[0, 1, 2, 3, 4]",455,455,balanced-warmup,,12,,1,0,12
targeted,2,"[5, 6, 7, 8, 9]",60,515,targeted,12,12,,1,0,12
targeted,3,"[10, 11, 12, 13, 14]",60,575,targeted,12,12,,1,0,12
targeted,4,"[15, 16, 17, 18, 19]",60,635,targeted,12,12,,1,0,12
targeted,5,"[20, 21, 22, 23, 24]",60,695,targeted,12,12,,1,0,12
targeted,6,"[25, 26, 27, 28, 29]",60,755,targeted,12,12,,1,0,12
targeted,7,"[30, 31, 32, 33, 34]",60,815,targeted,12,12,,1,0,12
targeted,8,"[35, 36, 37, 38, 39]",57,872,targeted,12,13,,0,0,13
targeted,9,"[40, 41, 42, 43, 44]",64,936,targeted,13,12,,1,0,12
targeted,10,"[45, 46, 47, 48, 49]",60,996,targeted,12,12,,1,0,12
targeted_size_3_min_10,1,"[0, 1, 2, 3, 4]",455,455,balanced-warmup,,12,,1,0,12
targeted_size_3_min_10,2,"[5, 6, 7, 8, 9]",60,515,targeted,12,8,,1,4,8
targeted_size_3_min_10,3,"[10, 11, 12, 13, 14]",40,555,targeted,8,7,,1,5,7
targeted_size_3_min_10,4,"[15, 16, 17, 18, 19]",35,590,targeted,7,7,,1,5,7
targeted_size_3_min_10,5,"[20, 21, 22, 23, 24]",35,625,targeted,7,8,,1,4,8
targeted_size_3_min_10,6,"[25, 26, 27, 28, 29]",40,665,targeted,8,7,,1,5,7
targeted_size_3_min_10,7,"[30, 31, 32, 33, 34]",35,700,targeted,7,7,,1,5,7
targeted_size_3_min_10,8,"[35, 36, 37, 38, 39]",34,734,targeted,7,7,,1,5,7
targeted_size_3_min_10,9,"[40, 41, 42, 43, 44]",34,768,targeted,7,7,,1,5,7
targeted_size_3_min_10,10,"[45, 46, 47, 48, 49]",35,803,targeted,7,7,,1,5,7
targeted_size_2_min_10,1,"[0, 1, 2, 3, 4]",455,455,balanced-warmup,,12,,1,0,12
targeted_size_2_min_10,2,"[5, 6, 7, 8, 9]",60,515,targeted,12,5,,1,7,5
targeted_size_2_min_10,3,"[10, 11, 12, 13, 14]",25,540,targeted,5,4,,1,8,4
targeted_size_2_min_10,4,"[15, 16, 17, 18, 19]",20,560,targeted,4,4,,1,8,4
targeted_size_2_min_10,5,"[20, 21, 22, 23, 24]",20,580,targeted,4,6,,1,6,6
targeted_size_2_min_10,6,"[25, 26, 27, 28, 29]",30,610,targeted,6,4,,1,8,4
targeted_size_2_min_10,7,"[30, 31, 32, 33, 34]",20,630,targeted,4,5,,1,7,5
targeted_size_2_min_10,8,"[35, 36, 37, 38, 39]",24,654,targeted,5,5,,1,7,5
targeted_size_2_min_10,9,"[40, 41, 42, 43, 44]",24,678,targeted,5,5,,1,7,5
targeted_size_2_min_10,10,"[45, 46, 47, 48, 49]",25,703,targeted,5,5,,1,7,5
targeted_size_3_min_5,1,"[0, 1, 2, 3, 4]",455,455,balanced-warmup,,8,,1,4,8
targeted_size_3_min_5,2,"[5, 6, 7, 8, 9]",40,495,targeted,8,7,,1,5,7
targeted_size_3_min_5,3,"[10, 11, 12, 13, 14]",35,530,targeted,7,7,,1,5,7
targeted_size_3_min_5,4,"[15, 16, 17, 18, 19]",35,565,targeted,7,7,,1,5,7
