name,comparisons_consumed,comparisons_saved,percentage_saved,stopping_round,stopping_reason,kendall_tau,spearman_rho,top3_membership_matches,top3_order_matches,median_absolute_elo_delta,max_absolute_elo_delta,followup_gate_passed,deterministic_across_repeats
full_stored_board,4505,0,0.0,10,reference_full_stored_board,1.0,1.0,True,True,0.0,0.0,False,True
balanced_adaptive,4505,0,0.0,10,sample_batches_exhausted,1.0,1.0,True,True,0.0,0.0,False,True
targeted,996,3509,77.89123196448391,10,sample_batches_exhausted,0.8461538461538461,0.9604395604395607,True,False,46.23768255756761,115.66948359261414,False,True
targeted_size_3_min_10,803,3702,82.17536071032187,10,sample_batches_exhausted,0.7802197802197802,0.9252747252747253,True,False,45.89727096303113,114.82024023801296,False,True
targeted_size_2_min_10,703,3802,84.39511653718091,10,sample_batches_exhausted,0.7802197802197802,0.9252747252747253,True,False,46.34282090319073,104.28082055473556,False,
targeted_size_3_min_5,783,3722,82.61931187569367,10,sample_batches_exhausted,0.7802197802197802,0.9252747252747253,True,False,46.75618036034473,115.90830645056553,False,
targeted_size_3_min_15,842,3663,81.30965593784684,10,sample_batches_exhausted,0.7802197802197802,0.9252747252747253,True,False,45.683112926215244,121.89598666526058,False,
targeted_size_5_min_10,926,3579,79.44506104328524,10,sample_batches_exhausted,0.7802197802197802,0.9252747252747253,True,False,47.79861858551715,119.09791584350728,False,
targeted_v2_warmup_5,996,3509,77.89123196448391,10,sample_batches_exhausted,0.8461538461538461,0.9604395604395607,True,False,46.23768255756761,115.66948359261414,False,
targeted_v2_warmup_10,1777,2728,60.554938956714764,10,sample_batches_exhausted,0.8681318681318682,0.9648351648351648,False,False,31.886074901780262,73.01683119859695,False,
targeted_v2_explore_every_3,2167,2338,51.897891231964486,10,sample_batches_exhausted,0.8241758241758242,0.9164835164835166,True,True,15.581150107184385,70.76052132718769,False,
targeted_v2_warmup_5_explore_3_annotate_3x,2167,2338,51.897891231964486,10,sample_batches_exhausted,0.8241758241758242,0.9164835164835166,True,True,15.581150107184385,70.76052132718769,False,True
targeted_v2_warmup_10_explore_3_annotate_3x,2549,1956,43.41842397336293,10,sample_batches_exhausted,0.8461538461538461,0.9384615384615385,False,False,9.72920769019936,57.906225277884914,False,
targeted_v2_warmup_5_explore_3_size_stop_3x,2058,2447,54.31742508324084,10,sample_batches_exhausted,0.8021978021978022,0.8989010989010989,True,True,12.454331152961913,70.59855691399412,False,
pair-balanced_700_seed_42,700,3805,84.46170921198669,0,predeclared_static_budget,0.7802197802197802,0.8945054945054945,False,False,21.429977055331733,85.49686515925214,False,
pair-balanced_700_seed_43,700,3805,84.46170921198669,0,predeclared_static_budget,0.7802197802197802,0.8945054945054945,False,False,19.485038845188342,98.65008366570828,False,
pair-balanced_700_seed_44,700,3805,84.46170921198669,0,predeclared_static_budget,0.7142857142857144,0.8725274725274725,False,False,21.601709340888533,44.9305243056142,False,
pair-balanced_700_seed_45,700,3805,84.46170921198669,0,predeclared_static_budget,0.7362637362637363,0.8813186813186813,False,False,13.517655883403563,64.69416029671243,False,
pair-balanced_700_seed_46,700,3805,84.46170921198669,0,predeclared_static_budget,0.8241758241758242,0.9164835164835166,False,False,22.123682208599234,66.35516817329449,False,
pair-balanced_1200_seed_42,1200,3305,73.36293007769146,0,predeclared_static_budget,0.8241758241758242,0.9252747252747253,False,False,12.48139493620738,65.05221988772882,False,
pair-balanced_1200_seed_43,1200,3305,73.36293007769146,0,predeclared_static_budget,0.8241758241758242,0.9428571428571428,True,False,16.856581791943313,42.579617892972465,False,
pair-balanced_1200_seed_44,1200,3305,73.36293007769146,0,predeclared_static_budget,0.8681318681318682,0.956043956043956,False,False,10.45910385358252,36.62551075270494,False,
pair-balanced_1200_seed_45,1200,3305,73.36293007769146,0,predeclared_static_budget,0.8241758241758242,0.9208791208791209,False,False,17.646765866252508,36.47492009421535,False,
pair-balanced_1200_seed_46,1200,3305,73.36293007769146,0,predeclared_static_budget,0.8461538461538461,0.9340659340659341,False,False,17.955619371834814,34.81014009549199,False,
pair-balanced_2000_seed_42,2000,2505,55.60488346281909,0,predeclared_static_budget,0.8021978021978022,0.9120879120879121,False,False,8.846758982956544,33.81672867535144,False,
pair-balanced_2000_seed_43,2000,2505,55.60488346281909,0,predeclared_static_budget,0.9120879120879122,0.9736263736263736,False,False,6.722059868035899,32.03154678837359,False,
pair-balanced_2000_seed_44,2000,2505,55.60488346281909,0,predeclared_static_budget,0.8461538461538461,0.9384615384615385,False,False,11.909483643468434,30.303948386869934,False,
pair-balanced_2000_seed_45,2000,2505,55.60488346281909,0,predeclared_static_budget,0.8681318681318682,0.9472527472527472,False,False,10.24949264581278,21.17849029106992,False,
pair-balanced_2000_seed_46,2000,2505,55.60488346281909,0,predeclared_static_budget,0.9560439560439562,0.9912087912087912,False,False,8.310378035397889,29.926902681557976,False,
mixed-random_700_seed_42,700,3805,84.46170921198669,0,predeclared_static_budget,0.8241758241758242,0.9428571428571428,False,False,37.8454745346512,101.54558005476588,False,
mixed-random_700_seed_43,700,3805,84.46170921198669,0,predeclared_static_budget,0.7802197802197802,0.9120879120879121,False,False,43.13383700507063,70.79639055443386,False,
mixed-random_700_seed_44,700,3805,84.46170921198669,0,predeclared_static_budget,0.7142857142857144,0.8637362637362638,False,False,56.06403624686436,116.81052616962552,False,
mixed-random_700_seed_45,700,3805,84.46170921198669,0,predeclared_static_budget,0.8461538461538461,0.9516483516483516,False,False,22.2229331109005,102.7779233858962,False,
mixed-random_700_seed_46,700,3805,84.46170921198669,0,predeclared_static_budget,0.7802197802197802,0.9208791208791209,False,False,40.91301945377552,96.27231906382167,False,
mixed-random_1200_seed_42,1200,3305,73.36293007769146,0,predeclared_static_budget,0.7802197802197802,0.9208791208791209,False,False,26.134509773544323,79.52519843529308,False,
mixed-random_1200_seed_43,1200,3305,73.36293007769146,0,predeclared_static_budget,0.8021978021978022,0.9296703296703297,False,False,23.835583467567176,82.47978272477826,False,
mixed-random_1200_seed_44,1200,3305,73.36293007769146,0,predeclared_static_budget,0.8021978021978022,0.9296703296703297,False,False,17.87771118769149,58.50048445495372,False,
