board,collection,design,budget_fraction,comparisons_consumed,percentage_saved,robust_full_board_pairs,possible_pairs,point_spearman_rho_median,point_topk_membership_matches,clustered_spearman_rho_median,clustered_topk_membership_rate,clustered_robust_pair_agreement,clustered_max_absolute_elo_delta_median,clustered_max_absolute_elo_delta_p95,minimum_pair_evidence,passed
rubenstein-30b,rubenstein,pair-balanced,0.25,75,74.91638795986623,4,6,0.7999999999999999,5,0.7999999999999999,0.958,0.95625,50.96302445946719,103.04616386353707,12,False
rubenstein-30b,rubenstein,pair-balanced,0.4,120,59.86622073578595,4,6,1.0,5,1.0,0.984,0.97575,36.602588143273124,68.9428597271016,20,True
rubenstein-30b,rubenstein,pair-balanced,0.6,179,40.13377926421405,4,6,1.0,5,1.0,0.999,0.989,24.451492199466998,45.8823914245234,29,True
rubenstein-30b,rubenstein,mixed-random,0.25,75,74.91638795986623,4,6,0.7999999999999999,5,0.7999999999999999,0.942,0.95,55.30934564765391,106.11305957921516,12,False
rubenstein-30b,rubenstein,mixed-random,0.4,120,59.86622073578595,4,6,1.0,5,1.0,0.986,0.9765,35.961371098299765,71.70864575790696,20,True
rubenstein-30b,rubenstein,mixed-random,0.6,179,40.13377926421405,4,6,1.0,5,1.0,0.997,0.9885,24.407175723937144,45.83763748606696,29,True
rubenstein-jury,rubenstein,pair-balanced,0.25,75,75.0,3,6,0.7999999999999999,2,0.7999999999999999,0.686,0.9546666666666667,51.30851618298459,99.7740401556695,12,False
rubenstein-jury,rubenstein,pair-balanced,0.4,120,60.0,3,6,0.7999999999999999,3,1.0,0.794,0.9783333333333333,35.47060310551785,70.45446369737978,20,False
rubenstein-jury,rubenstein,pair-balanced,0.6,180,40.0,3,6,1.0,5,1.0,0.862,0.989,24.519517490073326,46.29281326901969,30,False
rubenstein-jury,rubenstein,mixed-random,0.25,75,75.0,3,6,0.7999999999999999,4,0.7999999999999999,0.682,0.9543333333333334,53.2623958108918,105.56940869125386,12,False
rubenstein-jury,rubenstein,mixed-random,0.4,120,60.0,3,6,0.7999999999999999,5,0.8999999999999999,0.772,0.9743333333333334,37.201976556154364,72.11933690476818,20,False
rubenstein-jury,rubenstein,mixed-random,0.6,180,40.0,3,6,0.7999999999999999,5,1.0,0.847,0.9906666666666667,24.640067470120698,46.53445768533318,30,False
rubenstein-kimi,rubenstein,pair-balanced,0.25,75,75.0,5,6,1.0,5,1.0,0.941,0.954,48.71634774955521,93.4917081131644,12,True
rubenstein-kimi,rubenstein,pair-balanced,0.4,120,60.0,5,6,1.0,5,1.0,0.976,0.9748,34.11168897934829,64.60510410890352,20,True
rubenstein-kimi,rubenstein,pair-balanced,0.6,180,40.0,5,6,1.0,5,1.0,0.988,0.9848,22.381277927089627,43.52128846166924,30,True
rubenstein-kimi,rubenstein,mixed-random,0.25,75,75.0,5,6,1.0,5,1.0,0.942,0.9522,51.562024031424585,101.30568013207362,12,True
rubenstein-kimi,rubenstein,mixed-random,0.4,120,60.0,5,6,1.0,5,1.0,0.98,0.9744,35.019524268701616,69.11168669013173,20,True
rubenstein-kimi,rubenstein,mixed-random,0.6,180,40.0,5,6,1.0,5,1.0,0.993,0.9866,22.555386461412695,42.960206326319735,30,True
ufo-30b,ufo,pair-balanced,0.25,74,74.82993197278911,5,6,1.0,5,1.0,0.992,0.9982,66.36513865100414,170.6679118820609,12,True
ufo-30b,ufo,pair-balanced,0.4,118,59.863945578231295,5,6,1.0,5,1.0,0.999,0.9998,46.51917839657665,101.50165752723015,19,True
ufo-30b,ufo,pair-balanced,0.6,176,40.136054421768705,5,6,1.0,5,1.0,1,1,31.45359082816958,62.10565127428381,29,True
ufo-30b,ufo,mixed-random,0.25,74,74.82993197278911,5,6,1.0,5,1.0,0.985,0.9968,69.87977884241309,166.35690358458058,12,True
ufo-30b,ufo,mixed-random,0.4,118,59.863945578231295,5,6,1.0,5,1.0,0.996,0.9992,48.52463011461816,110.365475846818,19,True
ufo-30b,ufo,mixed-random,0.6,176,40.136054421768705,5,6,1.0,5,1.0,1,1,31.05830195373278,65.8193329542637,29,True
bpl,bpl,pair-balanced,0.25,37,74.82993197278911,4,6,0.6000000000000001,0,0.7999999999999999,0.578,0.81725,73.5964697110536,153.5851477572523,6,False
bpl,bpl,pair-balanced,0.4,59,59.863945578231295,4,6,0.7999999999999999,0,0.7999999999999999,0.654,0.869,49.828543699435045,102.8327524945587,9,False
bpl,bpl,pair-balanced,0.6,88,40.136054421768705,4,6,0.7999999999999999,1,0.7999999999999999,0.737,0.9105,33.19894047796083,62.93854394091554,14,False
bpl,bpl,mixed-random,0.25,37,74.82993197278911,4,6,0.7999999999999999,2,0.7999999999999999,0.549,0.8,83.57982190290431,172.00152817247883,6,False
bpl,bpl,mixed-random,0.4,59,59.863945578231295,4,6,0.7999999999999999,3,0.7999999999999999,0.622,0.85925,55.26643688568504,105.22972942394816,9,False
bpl,bpl,mixed-random,0.6,88,40.136054421768705,4,6,1.0,3,0.7999999999999999,0.752,0.90975,34.53789864225064,67.80927819317637,14,False
britannica-qwen35,britannica,pair-balanced,0.25,180,75.0,13,15,1.0,5,0.942857142857143,0.971,0.9755384615384616,81.15453200095465,2306.972897111449,12,True
britannica-qwen35,britannica,pair-balanced,0.4,288,60.0,13,15,1.0,5,1.0,0.988,0.9830769230769231,58.05154309002893,197.08019997153377,19,True
britannica-qwen35,britannica,pair-balanced,0.6,432,40.0,13,15,1.0,5,1.0,0.993,0.9895384615384616,37.81826912701297,97.80114615896461,28,True
britannica-qwen35,britannica,mixed-random,0.25,180,75.0,13,15,0.942857142857143,4,0.942857142857143,0.956,0.9699230769230769,91.67612246683814,2348.1679073592472,12,True
britannica-qwen35,britannica,mixed-random,0.4,288,60.0,13,15,0.942857142857143,5,1.0,0.989,0.9826923076923078,60.51017695201898,197.6989721651328,19,True
britannica-qwen35,britannica,mixed-random,0.6,432,40.0,13,15,0.942857142857143,5,1.0,0.999,0.9906153846153847,39.35275643631411,105.36616237876325,28,True
moh-table-fidelity,moh,pair-balanced,0.25,1126,75.00554938956715,51,91,0.9296703296703297,1,0.9384615384615385,0.34,0.9773725490196078,48.939915803189024,84.31332593481861,12,False
moh-table-fidelity,moh,pair-balanced,0.4,1802,60.0,51,91,0.9252747252747253,2,0.9604395604395607,0.474,0.9844313725490196,34.285550887453155,55.81184566831936,19,False
moh-table-fidelity,moh,pair-balanced,0.6,2703,40.0,51,91,0.9736263736263736,3,0.9780219780219781,0.615,0.9885294117647059,22.887958838301074,36.55624739703296,29,False
moh-table-fidelity,moh,mixed-random,0.25,1126,75.00554938956715,51,91,0.9296703296703297,0,0.9032967032967033,0.228,0.9658627450980392,67.13236783675984,113.83754428615104,12,False
moh-table-fidelity,moh,mixed-random,0.4,1802,60.0,51,91,0.9472527472527472,2,0.9494505494505494,0.372,0.9825294117647059,40.96385137541381,68.24805202727987,19,False
moh-table-fidelity,moh,mixed-random,0.6,2703,40.0,51,91,0.9648351648351648,2,0.9736263736263736,0.561,0.987921568627451,24.994304320712672,40.05965087285978,29,False
