strategy,round,sample_indices,batch_comparisons,cumulative_comparisons,allocation_mode,active_pairs,next_active_pairs,min_direct_comparisons,resolved,prefer_smaller,unresolved
balanced_adaptive,1,"[0, 1, 2, 3, 4]",320,320,balanced,,13,,0,0,13
balanced_adaptive,2,"[5, 6, 7, 8, 9]",373,693,balanced,,12,,1,0,12
balanced_adaptive,3,"[10, 11, 12, 13, 14]",453,1146,balanced,,12,,1,0,12
balanced_adaptive,4,"[15, 16, 17, 18, 19]",455,1601,balanced,,12,,1,0,12
balanced_adaptive,5,"[20, 21, 22, 23, 24]",455,2056,balanced,,11,,2,0,11
balanced_adaptive,6,"[25, 26, 27, 28, 29]",454,2510,balanced,,10,,3,0,10
balanced_adaptive,7,"[30, 31, 32, 33, 34]",455,2965,balanced,,9,,4,0,9
balanced_adaptive,8,"[35, 36, 37, 38, 39]",455,3420,balanced,,9,,4,0,9
balanced_adaptive,9,"[40, 41, 42, 43, 44]",419,3839,balanced,,9,,4,0,9
balanced_adaptive,10,"[45, 46, 47, 48, 49]",454,4293,balanced,,9,,4,0,9
targeted,1,"[0, 1, 2, 3, 4]",320,320,balanced-warmup,,13,,0,0,13
targeted,2,"[5, 6, 7, 8, 9]",56,376,targeted,13,13,,0,0,13
targeted,3,"[10, 11, 12, 13, 14]",64,440,targeted,13,13,,0,0,13
targeted,4,"[15, 16, 17, 18, 19]",65,505,targeted,13,12,,1,0,12
targeted,5,"[20, 21, 22, 23, 24]",60,565,targeted,12,13,,0,0,13
targeted,6,"[25, 26, 27, 28, 29]",65,630,targeted,13,13,,0,0,13
targeted,7,"[30, 31, 32, 33, 34]",65,695,targeted,13,12,,1,0,12
targeted,8,"[35, 36, 37, 38, 39]",60,755,targeted,12,12,,1,0,12
targeted,9,"[40, 41, 42, 43, 44]",55,810,targeted,12,12,,1,0,12
targeted,10,"[45, 46, 47, 48, 49]",60,870,targeted,12,12,,1,0,12
targeted_size_3_min_10,1,"[0, 1, 2, 3, 4]",320,320,balanced-warmup,,13,,0,0,13
targeted_size_3_min_10,2,"[5, 6, 7, 8, 9]",56,376,targeted,13,13,,0,0,13
targeted_size_3_min_10,3,"[10, 11, 12, 13, 14]",64,440,targeted,13,10,,0,3,10
targeted_size_3_min_10,4,"[15, 16, 17, 18, 19]",50,490,targeted,10,10,,1,2,10
targeted_size_3_min_10,5,"[20, 21, 22, 23, 24]",50,540,targeted,10,11,,0,2,11
targeted_size_3_min_10,6,"[25, 26, 27, 28, 29]",55,595,targeted,11,8,,0,5,8
targeted_size_3_min_10,7,"[30, 31, 32, 33, 34]",40,635,targeted,8,7,,1,5,7
targeted_size_3_min_10,8,"[35, 36, 37, 38, 39]",35,670,targeted,7,8,,0,5,8
targeted_size_3_min_10,9,"[40, 41, 42, 43, 44]",36,706,targeted,8,6,,1,6,6
targeted_size_3_min_10,10,"[45, 46, 47, 48, 49]",30,736,targeted,6,6,,1,6,6
targeted_size_2_min_10,1,"[0, 1, 2, 3, 4]",320,320,balanced-warmup,,13,,0,0,13
targeted_size_2_min_10,2,"[5, 6, 7, 8, 9]",56,376,targeted,13,11,,0,2,11
targeted_size_2_min_10,3,"[10, 11, 12, 13, 14]",54,430,targeted,11,7,,0,6,7
targeted_size_2_min_10,4,"[15, 16, 17, 18, 19]",35,465,targeted,7,8,,0,5,8
targeted_size_2_min_10,5,"[20, 21, 22, 23, 24]",40,505,targeted,8,8,,1,4,8
targeted_size_2_min_10,6,"[25, 26, 27, 28, 29]",40,545,targeted,8,6,,0,7,6
targeted_size_2_min_10,7,"[30, 31, 32, 33, 34]",30,575,targeted,6,5,,0,8,5
targeted_size_2_min_10,8,"[35, 36, 37, 38, 39]",25,600,targeted,5,3,,1,9,3
targeted_size_2_min_10,9,"[40, 41, 42, 43, 44]",14,614,targeted,3,3,,1,9,3
targeted_size_2_min_10,10,"[45, 46, 47, 48, 49]",15,629,targeted,3,3,,1,9,3
targeted_size_3_min_5,1,"[0, 1, 2, 3, 4]",320,320,balanced-warmup,,13,,0,0,13
targeted_size_3_min_5,2,"[5, 6, 7, 8, 9]",56,376,targeted,13,10,,0,3,10
targeted_size_3_min_5,3,"[10, 11, 12, 13, 14]",49,425,targeted,10,9,,0,4,9
targeted_size_3_min_5,4,"[15, 16, 17, 18, 19]",45,470,targeted,9,9,,1,3,9
targeted_size_3_min_5,5,"[20, 21, 22, 23, 24]",45,515,targeted,9,11,,0,2,11
targeted_size_3_min_5,6,"[25, 26, 27, 28, 29]",55,570,targeted,11,9,,0,4,9
targeted_size_3_min_5,7,"[30, 31, 32, 33, 34]",45,615,targeted,9,8,,1,4,8
targeted_size_3_min_5,8,"[35, 36, 37, 38, 39]",40,655,targeted,8,8,,1,4,8
targeted_size_3_min_5,9,"[40, 41, 42, 43, 44]",36,691,targeted,8,9,,0,4,9
targeted_size_3_min_5,10,"[45, 46, 47, 48, 49]",44,735,targeted,9,8,,1,4,8
targeted_size_3_min_15,1,"[0, 1, 2, 3, 4]",320,320,balanced-warmup,,13,,0,0,13
targeted_size_3_min_15,2,"[5, 6, 7, 8, 9]",56,376,targeted,13,13,,0,0,13
targeted_size_3_min_15,3,"[10, 11, 12, 13, 14]",64,440,targeted,13,13,,0,0,13
targeted_size_3_min_15,4,"[15, 16, 17, 18, 19]",65,505,targeted,13,10,,1,2,10
targeted_size_3_min_15,5,"[20, 21, 22, 23, 24]",50,555,targeted,10,11,,0,2,11
targeted_size_3_min_15,6,"[25, 26, 27, 28, 29]",55,610,targeted,11,12,,0,1,12
targeted_size_3_min_15,7,"[30, 31, 32, 33, 34]",60,670,targeted,12,8,,1,4,8
targeted_size_3_min_15,8,"[35, 36, 37, 38, 39]",40,710,targeted,8,8,,1,4,8
targeted_size_3_min_15,9,"[40, 41, 42, 43, 44]",36,746,targeted,8,8,,1,4,8
targeted_size_3_min_15,10,"[45, 46, 47, 48, 49]",40,786,targeted,8,7,,1,5,7
targeted_size_5_min_10,1,"[0, 1, 2, 3, 4]",320,320,balanced-warmup,,13,,0,0,13
targeted_size_5_min_10,2,"[5, 6, 7, 8, 9]",56,376,targeted,13,13,,0,0,13
targeted_size_5_min_10,3,"[10, 11, 12, 13, 14]",64,440,targeted,13,11,,0,2,11
targeted_size_5_min_10,4,"[15, 16, 17, 18, 19]",55,495,targeted,11,12,,0,1,12
targeted_size_5_min_10,5,"[20, 21, 22, 23, 24]",60,555,targeted,12,11,,1,1,11
targeted_size_5_min_10,6,"[25, 26, 27, 28, 29]",55,610,targeted,11,11,,0,2,11
targeted_size_5_min_10,7,"[30, 31, 32, 33, 34]",55,665,targeted,11,10,,1,2,10
targeted_size_5_min_10,8,"[35, 36, 37, 38, 39]",50,715,targeted,10,10,,1,2,10
targeted_size_5_min_10,9,"[40, 41, 42, 43, 44]",45,760,targeted,10,10,,1,2,10
targeted_size_5_min_10,10,"[45, 46, 47, 48, 49]",50,810,targeted,10,9,,1,3,9
targeted_v2_warmup_5,1,"[0, 1, 2, 3, 4]",320,320,balanced-warmup,,,2,,,
targeted_v2_warmup_5,2,"[5, 6, 7, 8, 9]",373,693,balanced-warmup,,12,,1,0,12
targeted_v2_warmup_5,3,"[10, 11, 12, 13, 14]",60,753,targeted,12,12,,1,0,12
targeted_v2_warmup_5,4,"[15, 16, 17, 18, 19]",60,813,targeted,12,12,,1,0,12
targeted_v2_warmup_5,5,"[20, 21, 22, 23, 24]",60,873,targeted,12,11,,2,0,11
targeted_v2_warmup_5,6,"[25, 26, 27, 28, 29]",55,928,targeted,11,11,,2,0,11
targeted_v2_warmup_5,7,"[30, 31, 32, 33, 34]",55,983,targeted,11,12,,1,0,12
targeted_v2_warmup_5,8,"[35, 36, 37, 38, 39]",60,1043,targeted,12,12,,1,0,12
targeted_v2_warmup_5,9,"[40, 41, 42, 43, 44]",56,1099,targeted,12,11,,2,0,11
targeted_v2_warmup_5,10,"[45, 46, 47, 48, 49]",54,1153,targeted,11,11,,2,0,11
targeted_v2_warmup_10,1,"[0, 1, 2, 3, 4]",320,320,balanced-warmup,,,2,,,
targeted_v2_warmup_10,2,"[5, 6, 7, 8, 9]",373,693,balanced-warmup,,,5,,,
targeted_v2_warmup_10,3,"[10, 11, 12, 13, 14]",453,1146,balanced-warmup,,12,,1,0,12
targeted_v2_warmup_10,4,"[15, 16, 17, 18, 19]",60,1206,targeted,12,12,,1,0,12
targeted_v2_warmup_10,5,"[20, 21, 22, 23, 24]",60,1266,targeted,12,12,,1,0,12
targeted_v2_warmup_10,6,"[25, 26, 27, 28, 29]",60,1326,targeted,12,12,,1,0,12
targeted_v2_warmup_10,7,"[30, 31, 32, 33, 34]",60,1386,targeted,12,12,,1,0,12
targeted_v2_warmup_10,8,"[35, 36, 37, 38, 39]",60,1446,targeted,12,12,,1,0,12
targeted_v2_warmup_10,9,"[40, 41, 42, 43, 44]",55,1501,targeted,12,12,,1,0,12
targeted_v2_warmup_10,10,"[45, 46, 47, 48, 49]",60,1561,targeted,12,12,,1,0,12
targeted_v2_explore_every_3,1,"[0, 1, 2, 3, 4]",320,320,balanced-warmup,,13,,0,0,13
targeted_v2_explore_every_3,2,"[5, 6, 7, 8, 9]",56,376,targeted,13,13,,0,0,13
targeted_v2_explore_every_3,3,"[10, 11, 12, 13, 14]",64,440,targeted,13,13,,0,0,13
targeted_v2_explore_every_3,4,"[15, 16, 17, 18, 19]",455,895,balanced-exploration,13,12,,1,0,12
targeted_v2_explore_every_3,5,"[20, 21, 22, 23, 24]",60,955,targeted,12,11,,2,0,11
targeted_v2_explore_every_3,6,"[25, 26, 27, 28, 29]",54,1009,targeted,11,11,,2,0,11
targeted_v2_explore_every_3,7,"[30, 31, 32, 33, 34]",455,1464,balanced-exploration,11,11,,2,0,11
targeted_v2_explore_every_3,8,"[35, 36, 37, 38, 39]",55,1519,targeted,11,11,,2,0,11
targeted_v2_explore_every_3,9,"[40, 41, 42, 43, 44]",50,1569,targeted,11,11,,2,0,11
targeted_v2_explore_every_3,10,"[45, 46, 47, 48, 49]",454,2023,balanced-exploration,11,11,,2,0,11
targeted_v2_warmup_5_explore_3_annotate_3x,1,"[0, 1, 2, 3, 4]",320,320,balanced-warmup,,,2,,,
targeted_v2_warmup_5_explore_3_annotate_3x,2,"[5, 6, 7, 8, 9]",373,693,balanced-warmup,,12,,1,0,12
targeted_v2_warmup_5_explore_3_annotate_3x,3,"[10, 11, 12, 13, 14]",60,753,targeted,12,12,,1,0,12
targeted_v2_warmup_5_explore_3_annotate_3x,4,"[15, 16, 17, 18, 19]",60,813,targeted,12,12,,1,0,12
targeted_v2_warmup_5_explore_3_annotate_3x,5,"[20, 21, 22, 23, 24]",455,1268,balanced-exploration,12,12,,1,0,12
targeted_v2_warmup_5_explore_3_annotate_3x,6,"[25, 26, 27, 28, 29]",59,1327,targeted,12,12,,1,0,12
targeted_v2_warmup_5_explore_3_annotate_3x,7,"[30, 31, 32, 33, 34]",60,1387,targeted,12,11,,2,0,11
targeted_v2_warmup_5_explore_3_annotate_3x,8,"[35, 36, 37, 38, 39]",455,1842,balanced-exploration,11,11,,2,0,11
targeted_v2_warmup_5_explore_3_annotate_3x,9,"[40, 41, 42, 43, 44]",50,1892,targeted,11,11,,2,0,11
targeted_v2_warmup_5_explore_3_annotate_3x,10,"[45, 46, 47, 48, 49]",54,1946,targeted,11,11,,2,0,11
targeted_v2_warmup_10_explore_3_annotate_3x,1,"[0, 1, 2, 3, 4]",320,320,balanced-warmup,,,2,,,
targeted_v2_warmup_10_explore_3_annotate_3x,2,"[5, 6, 7, 8, 9]",373,693,balanced-warmup,,,5,,,
targeted_v2_warmup_10_explore_3_annotate_3x,3,"[10, 11, 12, 13, 14]",453,1146,balanced-warmup,,12,,1,0,12
targeted_v2_warmup_10_explore_3_annotate_3x,4,"[15, 16, 17, 18, 19]",60,1206,targeted,12,12,,1,0,12
targeted_v2_warmup_10_explore_3_annotate_3x,5,"[20, 21, 22, 23, 24]",60,1266,targeted,12,12,,1,0,12
targeted_v2_warmup_10_explore_3_annotate_3x,6,"[25, 26, 27, 28, 29]",454,1720,balanced-exploration,12,12,,1,0,12
targeted_v2_warmup_10_explore_3_annotate_3x,7,"[30, 31, 32, 33, 34]",60,1780,targeted,12,12,,1,0,12
targeted_v2_warmup_10_explore_3_annotate_3x,8,"[35, 36, 37, 38, 39]",60,1840,targeted,12,11,,2,0,11
targeted_v2_warmup_10_explore_3_annotate_3x,9,"[40, 41, 42, 43, 44]",419,2259,balanced-exploration,11,11,,2,0,11
targeted_v2_warmup_10_explore_3_annotate_3x,10,"[45, 46, 47, 48, 49]",54,2313,targeted,11,11,,2,0,11
targeted_v2_warmup_5_explore_3_size_stop_3x,1,"[0, 1, 2, 3, 4]",320,320,balanced-warmup,,,2,,,
targeted_v2_warmup_5_explore_3_size_stop_3x,2,"[5, 6, 7, 8, 9]",373,693,balanced-warmup,,11,,1,1,11
targeted_v2_warmup_5_explore_3_size_stop_3x,3,"[10, 11, 12, 13, 14]",55,748,targeted,11,9,,1,3,9
targeted_v2_warmup_5_explore_3_size_stop_3x,4,"[15, 16, 17, 18, 19]",45,793,targeted,9,8,,1,4,8
targeted_v2_warmup_5_explore_3_size_stop_3x,5,"[20, 21, 22, 23, 24]",455,1248,balanced-exploration,8,6,,1,6,6
targeted_v2_warmup_5_explore_3_size_stop_3x,6,"[25, 26, 27, 28, 29]",30,1278,targeted,6,6,,2,5,6
targeted_v2_warmup_5_explore_3_size_stop_3x,7,"[30, 31, 32, 33, 34]",30,1308,targeted,6,6,,2,5,6
targeted_v2_warmup_5_explore_3_size_stop_3x,8,"[35, 36, 37, 38, 39]",455,1763,balanced-exploration,6,6,,2,5,6
targeted_v2_warmup_5_explore_3_size_stop_3x,9,"[40, 41, 42, 43, 44]",28,1791,targeted,6,6,,2,5,6
targeted_v2_warmup_5_explore_3_size_stop_3x,10,"[45, 46, 47, 48, 49]",29,1820,targeted,6,6,,2,5,6
